feature,importance
fiyat_lag1,0.26924031773346174
aylik_tufe,0.07682956732373372
ay,0.07321411228697246
fiyat_diff_1,0.0621320050999474
ceyrek,0.03777938699153327
urun_kod,0.0376687005305185
roll8_ort,0.03420803657442295
fiyat_diff_2,0.030484222026865
fiyat_spread,0.025789242412780546
roll12_std,0.023027594941477086
sicaklik_farki,0.02286774657851986
roll12_ort,0.02268755099648707
diff_roll4_ort,0.02201658729404659
diff_lag1,0.01907694610014977
diff_roll8_ort,0.01622040345755785
fiyat_diff_4,0.015109361787502223
momentum_pct,0.014528392642754786
roll4_std,0.014139281879387932
diff_lag3,0.01334260506604172
hafta_sin,0.01130335399713911
roll4_ort,0.011245214901941834
volatilite_4,0.010629178899660922
dolar_kuru,0.010333650623250763
lojistik,0.010207577681984619
diff_lag2,0.009997329318717005
mazot_fiyati,0.008469183587301839
diff_roll4_std,0.008401951196809134
fiyat_lag2,0.007982624076890711
trend_4_12,0.007660616712002077
roll8_std,0.007321397689877882
konya_toplam_yagis,0.007226739566454328
fiyat_lag12,0.00648723452054183
yil,0.0062315606018375595
fiyat_lag4,0.005592832055105627
konya_ort_sicaklik,0.005383139534194072
hassasiyet_katsayisi,0.005203717244726767
fiyat_lag8,0.005091635167238933
konya_nem,0.004916897070618882
antalya_ort_sicaklik,0.004902668602972876
ay_sin,0.004584891938011414
hafta_no,0.0035339773738084263
hafta_cos,0.0033378691710828703
son4_yon_toplam,0.00141026743410057
ay_cos,0.0009585307690122033
son2_yon_toplam,0.0005815645074880115
konya_don_var,0.00044538837448106547
mevsim_faktoru,8.49550867162147e-05
son_yon,7.50294872417874e-05
ithal_mi,3.696108463033259e-05
