Model,MAE,RMSE,MAPE,MDA,R2
Random Forest,8.75,16.22,15.31,69.49,0.8931
LightGBM,10.16,19.87,19.92,67.65,0.8395
Stacking,8.35,16.8,14.48,68.57,0.8852
