hafta_baslangic,urun_adi,urun_kod,fiyat,lag_1h,lag_4h,lag_8h,lag_12h,lag_24h,roll4_ort,roll8_ort,roll12_ort,roll4_std,momentum_pct,trend_4_12,volatilite,hedef_haftalik,konya_sic,konya_yagis,antalya_don_lag1,sic_fark,dolar_kuru,yil,hafta_no,ay,hafta_sin,hafta_cos,lojistik
2024-08-13,acur,0,20.0,20.0,20.0,20.0,20.0,52.5,20.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,24.728571428571428,0.0,0.0,-6.7,33.20848286128959,2024,33,8,-0.7485107481711011,-0.6631226582407952,76.37951058096606
2024-08-20,acur,0,20.0,20.0,20.0,20.0,20.0,52.5,20.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,25.414285714285715,1.7000000000000002,0.0,-3.9428571428571426,33.37332096773608,2024,34,8,-0.8229838658936564,-0.5680647467311559,76.75863822579298
2024-08-27,acur,0,20.0,20.0,20.0,20.0,20.0,52.5,20.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,22.32857142857143,6.0,0.0,-5.228571428571428,33.42944412706945,2024,35,8,-0.8854560256532096,-0.4647231720437691,76.88772149225973
2024-09-03,acur,0,20.0,20.0,20.0,20.0,20.0,52.5,20.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,21.842857142857145,4.5,0.0,-5.7,33.428313629565125,2024,36,9,-0.9350162426854147,-0.3546048870425359,76.88512134799979
2024-09-10,acur,0,20.0,20.0,20.0,20.0,20.0,52.5,20.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,22.12857142857143,0.8,0.0,-3.6000000000000005,33.842774415981935,2024,37,9,-0.970941817426052,-0.23931566428755774,77.83838115675844
2024-09-17,acur,0,20.0,20.0,20.0,20.0,20.0,52.5,20.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,18.385714285714283,10.1,0.0,-5.785714285714285,33.621234098034755,2024,38,9,-0.992708874098054,-0.12053668025532357,77.32883842547993
2024-09-24,acur,0,20.0,20.0,20.0,20.0,20.0,52.5,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,17.885714285714286,13.9,0.0,-6.3999999999999995,33.860267833155675,2024,39,9,-1.0,-1.8369701987210297e-16,77.87861601625805
2024-10-01,acur,0,0.0,20.0,20.0,20.0,20.0,52.5,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,16.2,0.4,0.0,-6.371428571428571,34.21651198449736,2024,40,10,-0.992708874098054,0.1205366802553232,78.69797756434392
2024-10-08,acur,0,0.0,0.0,20.0,20.0,20.0,52.5,15.0,17.5,17.77777777777778,10.0,-100.0,-2.7777777777777786,10.0,0.0,18.928571428571427,0.1,0.0,-3.942857142857143,34.068601716457756,2024,41,10,-0.9709418174260521,0.23931566428755738,78.35778394785284
2024-10-15,acur,0,0.0,0.0,20.0,20.0,20.0,52.5,10.0,15.0,16.0,11.547005383792516,-100.0,-6.0,11.547005383792516,0.0,10.971428571428572,0.0,0.0,-9.700000000000001,34.21910046075684,2024,42,10,-0.9350162426854148,0.35460488704253557,78.70393105974073
